Name,Team,Age,Games Played,Wins,Losses,Minutes Per Game,Points Per Game,FGM,FGA,FG%,3PM,3PA,3P%,Rebounds,Assists,Plus/Minus,Salary
James Harden,HOU,29,78,51,27,36.8,36.1,10.8,24.5,44.2,4.8,13.2,36.4,6.6,7.5,4.6,"$30,570,000.00 "
Paul George,OKC,28,77,46,31,36.9,28,9.2,21,43.8,3.8,9.8,38.8,8.2,4.1,6.4,"$30,560,700.00 "
Giannis Antetokounmpo,MIL,24,72,56,16,32.8,27.7,10,17.3,57.8,0.7,2.8,25,12.5,5.9,9.1,"$24,157,304.00 "
Joel Embiid,PHI,25,64,43,21,33.7,27.5,9.1,18.7,48.4,1.2,4.1,29.3,13.6,3.7,5.8,"$25,467,250.00 "
LeBron James,LAL,34,55,28,27,35.2,27.4,10.1,19.9,51,2,5.9,33.9,8.5,8.3,2.1,"$35,654,150.00 "
Stephen Curry,GSW,31,69,52,17,33.8,27.3,9.2,19.4,47.2,5.1,11.7,43.6,5.3,5.2,10,"$37,457,154.00 "
Kawhi Leonard,TOR,27,60,41,19,34,26.6,9.3,18.8,49.6,1.9,5,38,7.3,3.3,5.9,"$23,114,066.00 "
Devin Booker,PHX,22,64,15,49,35,26.6,9.2,19.6,46.7,2.1,6.5,32.3,4.1,6.8,-5.2,"$3,314,365.00 "
Kevin Durant,GSW,30,78,54,24,34.6,26,9.2,17.7,52.1,1.8,5,36,6.4,5.9,8.4,"$30,000,000.00 "
Anthony Davis,NOP,26,56,25,31,33,25.9,9.5,18.3,51.7,0.9,2.6,34.6,12,3.9,2.4,"$25,434,263.00 "
Damian Lillard,POR,28,80,51,29,35.5,25.8,8.5,19.2,44.4,3,8,37.5,4.6,6.9,6.2,"$27,977,689.00 "
Kemba Walker,CHA,28,82,39,43,34.9,25.6,8.9,20.5,43.4,3.2,8.9,36,4.4,5.9,0.4,"$12,000,000.00 "
Bradley Beal,WAS,25,82,32,50,36.9,25.6,9.3,19.6,47.5,2.5,7.3,34.2,5,5.5,-1.4,"$25,434,262.00 "
Blake Griffin,DET,30,75,39,36,35,24.5,8.3,17.9,46.2,2.5,7,35.7,7.5,5.4,0.5,"$31,873,932.00 "
Karl-Anthony Towns,MIN,23,77,34,43,33,24.4,8.8,17.1,51.8,1.8,4.6,39.1,12.4,3.4,0.7,"$7,839,435.00 "
Kyrie Irving,BOS,27,67,37,30,33,23.8,9,18.5,48.7,2.6,6.5,40,5,6.9,5,"$20,099,189.00 "
Donovan Mitchell,UTA,22,77,49,28,33.7,23.8,8.6,19.9,43.2,2.4,6.7,35.8,4.1,4.2,4.8,"$3,111,480.00 "
Zach LaVine,CHI,24,63,16,47,34.5,23.7,8.4,18,46.7,1.9,5.1,37.3,4.7,4.5,-4.8,"$19,500,000.00 "
Russell Westbrook,OKC,30,73,44,29,36,22.9,8.6,20.2,42.8,1.6,5.6,28.6,11.1,10.7,4,"$35,665,000.00 "
Klay Thompson,GSW,29,78,55,23,34,21.5,8.4,18,46.7,3.1,7.7,40.3,3.8,2.4,4.5,"$18,988,725.00 "